n_train,seed,model,fit_seconds,n_parameters,auc,balanced_accuracy,accuracy
1000,1,majority class,0.00019919998885598034,1,0.5,0.5,0.85098
1000,1,logistic regression,0.00611899999785237,8,0.5366882797674065,0.5000079629035247,0.85097
1000,1,gradient boosting,0.17668859999685083,5476,0.5388093288988556,0.5091807341238117,0.82593
1000,1,hyperdimensional,0.1716496000008192,730000,0.5515765252384977,0.5344930569742451,0.56238
1000,2,majority class,0.0007045000093057752,1,0.5,0.5,0.85098
1000,2,logistic regression,0.006806799996411428,8,0.5220263035158728,0.49999706221062773,0.850975
1000,2,gradient boosting,0.29659880000690464,5954,0.5263842795508547,0.5070576504026957,0.82698
1000,2,hyperdimensional,0.24661709999782033,730000,0.5342740528790227,0.5251388328050138,0.54938
1000,3,majority class,0.00018409999029245228,1,0.5,0.5,0.85098
1000,3,logistic regression,0.007808700000168756,8,0.5342544316712363,0.5,0.85098
1000,3,gradient boosting,0.8403056999959517,5878,0.5307431137389124,0.5055565216496869,0.82638
1000,3,hyperdimensional,0.18592389998957515,730000,0.5474580110727036,0.5298236944870139,0.564325
1000,4,majority class,0.00020330000552348793,1,0.5,0.5,0.85098
1000,4,logistic regression,0.006502899996121414,8,0.5295844846620963,0.5000016232557839,0.850865
1000,4,gradient boosting,0.25910779999685474,5460,0.5333807161184076,0.5083233459534551,0.81651
1000,4,hyperdimensional,0.16527189999760594,730000,0.5402553829724621,0.5291108135381372,0.561675
3000,0,majority class,0.0002280000044265762,1,0.5,0.5,0.85098
3000,0,logistic regression,0.00672570000460837,8,0.5308515343717067,0.5,0.85098
3000,0,gradient boosting,0.35324880000553094,7582,0.5503053848612269,0.5107765132379967,0.83696
3000,0,hyperdimensional,0.48648429999593645,730000,0.5546054001768442,0.5382906384494548,0.580125
3000,1,majority class,0.0001993000041693449,1,0.5,0.5,0.85098
3000,1,logistic regression,0.005221800005529076,8,0.5018221680966631,0.5,0.85098
3000,1,gradient boosting,0.2943049999885261,7790,0.5458265706021291,0.5113188371994516,0.834515
3000,1,hyperdimensional,0.486237400007667,730000,0.5553309738267641,0.5369633033384053,0.579915
3000,2,majority class,0.0006732000038027763,1,0.5,0.5,0.85098
