model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
mlp,full,3,1,642799,163041,0.05093146117020659,0.8717640340275072,7.79069128433896,39.550746600027196,0.2246327999746427,326.643712,53995116000.0,,2026-08-09T15:55:39,
ridge,full,3,2,643226,162614,0.08131666410298981,0.7355653719590584,13.658873770566842,1.2018456000369042,0.11124170001130551,324.27212799999995,52101549.0,,2026-08-09T15:57:01,
random_forest,full,3,2,643226,162614,0.03885509204832121,0.9102805642139857,4.916059963865437,69.33087750000414,0.7560371999861673,2257.5964160000003,,,2026-08-09T15:57:02,
lightgbm,full,3,2,643226,162614,0.04764462049974045,0.904071319650903,7.779075184372108,1.6440716999350116,0.5232059999834746,81.13766399999997,,,2026-08-09T15:58:12,
catboost,full,3,2,643226,162614,0.04331457713361728,0.9154207339902447,6.741772796894849,174.13629709999077,0.19433910003863275,622.6165760000001,,,2026-08-09T15:58:14,
mlp,full,3,2,643226,162614,0.04820186515876349,0.9003394913027669,7.774638320880095,36.58882960001938,0.16807919996790588,327.26220800000004,54030984000.0,,2026-08-09T16:01:09,
ridge,full,3,3,646760,159080,0.07730856074766991,0.7406467071660379,13.612886693575371,1.0676198999863118,0.13129469996783882,315.662336,52387803.0,,2026-08-09T16:02:26,
random_forest,full,3,3,646760,159080,0.039435467497764505,0.8874489266731133,4.519857952465917,70.24219430005178,0.7592415999388322,2248.634368,,,2026-08-09T16:02:28,
lightgbm,full,3,3,646760,159080,0.047687533048297225,0.8841640255809351,7.547522480538939,1.4800460999831557,0.449526600074023,83.53791999999999,,,2026-08-09T16:03:39,
catboost,full,3,3,646760,159080,0.04300800606585493,0.8936840185083744,6.439467169534906,148.5654358000029,0.17795299994759262,654.241792,,,2026-08-09T16:03:41,
mlp,full,3,3,646760,159080,0.05055855257261112,0.8820496168889224,8.388650997131721,32.96223380009178,0.1755219999467954,318.734336,54327840000.0,,2026-08-09T16:06:10,
ridge,full,3,4,645500,160340,0.07688517421476318,0.742078212220597,13.048003059282632,1.033663099980913,0.10558380000293255,325.419008,52285743.0,,2026-08-09T16:07:22,
random_forest,full,3,4,645500,160340,0.03922321054797102,0.8949552322801275,4.667114071195157,56.01714229991194,0.6111395000480115,2277.4251520000003,,,2026-08-09T16:07:23,
lightgbm,full,3,4,645500,160340,0.04809187571631484,0.8947188476415446,7.88705449245869,1.26150989998132,0.35796029993798584,82.73920000000004,,,2026-08-09T16:08:20,
catboost,full,3,4,645500,160340,0.04362618048897192,0.904569325613646,6.753462644843351,141.45571010001004,0.1659676000708714,650.32192,,,2026-08-09T16:08:21,
mlp,full,3,4,645500,160340,0.04905959345278758,0.8905147794904428,7.89306422959873,32.8784747000318,0.15870429994538426,276.75852800000007,54222000000.0,,2026-08-09T16:10:43,
ridge,full,4,0,637890,167950,0.07822692791161633,0.7333757034739986,13.31825892326293,0.9935855000512674,0.11101039999630302,321.589248,51669333.0,,2026-08-09T16:11:56,
random_forest,full,4,0,637890,167950,0.0422135469982825,0.8621929542794868,5.002596922130046,55.60835340002086,0.6475427999394014,2238.611456,,,2026-08-09T16:11:57,
lightgbm,full,4,0,637890,167950,0.05028319927411568,0.8623170229965964,7.568358087457342,1.2619373999768868,0.3661550999386236,81.78483200000005,,,2026-08-09T16:12:53,
catboost,full,4,0,637890,167950,0.045326431938988956,0.8785525566962392,6.6629683442719685,136.30467799992766,0.18435049999970943,659.918848,,,2026-08-09T16:12:55,
mlp,full,4,0,637890,167950,0.05167423541885053,0.8538154937986697,7.716738651395286,32.673224900034256,0.16594310000073165,324.521984,53582760000.0,,2026-08-09T16:15:12,
ridge,full,4,1,648001,157839,0.0808465444096538,0.7204434282052595,13.920129304321488,1.0186306999530643,0.10915589996147901,326.623232,52488324.0,,2026-08-09T16:16:23,
random_forest,full,4,1,648001,157839,0.03986033575240841,0.8937571398255497,4.740529447409026,56.55412869993597,0.6447321999585256,2336.759808,,,2026-08-09T16:16:24,
lightgbm,full,4,1,648001,157839,0.049009614354637666,0.8886971232308821,7.625787938750079,1.3050806000828743,0.32591169991064817,76.97612800000002,,,2026-08-09T16:17:22,
catboost,full,4,1,648001,157839,0.04406073965349189,0.900238299393935,6.722029862789952,138.04360640002415,0.17780970002058893,669.0283519999998,,,2026-08-09T16:17:23,
mlp,full,4,1,648001,157839,0.050679665654089184,0.8829710660498293,7.887299540155269,30.86779479996767,0.17355970002245158,329.355264,50544078000.0,,2026-08-09T16:19:42,
ridge,full,4,2,650313,155527,0.07750814174038644,0.7499282932949487,13.427897885794938,1.0132491999538615,0.1023825000738725,335.90067200000004,52675596.0,,2026-08-09T16:20:52,
random_forest,full,4,2,650313,155527,0.04019283168578799,0.8747291147503098,4.552293425553702,56.63997100002598,0.6078696999466047,2356.5598720000003,,,2026-08-09T16:20:53,
lightgbm,full,4,2,650313,155527,0.04953698422524747,0.8777447794816244,7.899638815825972,1.262574200052768,0.3337166999699548,82.75967999999995,,,2026-08-09T16:21:50,
catboost,full,4,2,650313,155527,0.04371383730567177,0.895995730277064,6.554613715201711,169.07474539999384,0.28143690002616495,699.1503359999999,,,2026-08-09T16:21:52,
mlp,full,4,2,650313,155527,0.04999113481500438,0.8808745927318697,7.682650138112679,43.893410600023344,0.21772399998735636,315.768832,50724414000.0,,2026-08-09T16:24:42,
ridge,full,4,3,641890,163950,0.07947153733363496,0.7305454827426483,13.470258751410519,1.4073868999257684,0.17777440010104328,313.27846399999993,51993333.0,,2026-08-09T16:26:13,
