model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
mlp,regime_limited,0,4,4967,840,0.11738409441798545,0.6903796672485234,17.99958772014407,0.40918370010331273,0.005942499963566661,0.03686399999992318,885119400.0,,2026-08-08T21:39:18,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,4,4967,840,0.10826524206283412,0.7228062065574452,16.414000356545007,0.7871892000548542,152.70289229997434,484.79436799999985,,,2026-08-08T21:39:18,subsampled to TabPFN's documented limit
ridge,regime_limited,1,0,4482,1405,0.08547404747700303,0.6469641914981862,13.43000686765052,0.017701399978250265,0.005669499980285764,0.020479999999906795,448533.3333333333,,2026-08-08T21:41:52,subsampled to TabPFN's documented limit
random_forest,regime_limited,1,0,4482,1405,0.06390681337472036,0.7794019148692198,10.560298500492825,0.2333271000534296,0.044181999983265996,12.136447999999973,,,2026-08-08T21:41:52,subsampled to TabPFN's documented limit
lightgbm,regime_limited,1,0,4482,1405,0.06527032590789177,0.7746099837233313,11.175123126759503,0.07718010002281517,0.006489399936981499,0.024576000000024578,,,2026-08-08T21:41:52,subsampled to TabPFN's documented limit
catboost,regime_limited,1,0,4482,1405,0.062045747958513114,0.8003029297406309,10.34022517754072,20.863786399946548,0.005945200100541115,3.006464000000051,,,2026-08-08T21:41:52,subsampled to TabPFN's documented limit
mlp,regime_limited,1,0,4482,1405,0.08865414045217707,0.6292190621516629,11.826573604779123,0.4644978999858722,0.007081500021740794,0.020479999999906795,828273600.0,,2026-08-08T21:42:13,subsampled to TabPFN's documented limit
tabpfn,regime_limited,1,0,4482,1405,0.049358263360674164,0.8620417685880802,7.0880481963509645,0.8883613999933004,122.46528290002607,520.9784320000001,,,2026-08-08T21:42:14,subsampled to TabPFN's documented limit
ridge,regime_limited,1,1,4613,1274,0.08118146603340122,0.6923959604210443,14.493026438709563,0.017609499976970255,0.00614290009252727,0.02048000000013417,461633.3333333333,,2026-08-08T21:44:17,subsampled to TabPFN's documented limit
random_forest,regime_limited,1,1,4613,1274,0.07607356712871624,0.6195082231367479,14.428331751383027,0.24272680003196,0.04296089999843389,8.007680000000164,,,2026-08-08T21:44:17,subsampled to TabPFN's documented limit
lightgbm,regime_limited,1,1,4613,1274,0.06705498281092923,0.7636461498789462,10.993412291840379,0.08731830003671348,0.00720779993571341,0.03276800000003277,,,2026-08-08T21:44:17,subsampled to TabPFN's documented limit
catboost,regime_limited,1,1,4613,1274,0.0572392178712938,0.7855312638918662,7.480395541668172,21.083707300014794,0.0033048000186681747,3.0269439999999577,,,2026-08-08T21:44:17,subsampled to TabPFN's documented limit
mlp,regime_limited,1,1,4613,1274,0.07011111520296302,0.736130556068201,11.499393166631457,0.39382950006984174,0.005868499982170761,0.04505600000015875,852482400.0,,2026-08-08T21:44:39,subsampled to TabPFN's documented limit
tabpfn,regime_limited,1,1,4613,1274,0.07141547617503372,0.6914548466375294,9.799917243302007,0.6820849000941962,103.0041907998966,424.28415999999993,,,2026-08-08T21:44:39,subsampled to TabPFN's documented limit
ridge,regime_limited,1,2,4750,1137,0.0941886628454913,0.7563871521567584,16.489734966141672,0.01623440010007471,0.005944399978034198,0.020479999999906795,475333.3333333333,,2026-08-08T21:46:23,subsampled to TabPFN's documented limit
random_forest,regime_limited,1,2,4750,1137,0.06299518290462669,0.8534519118527426,7.637495801231757,0.26763400004711,0.03075339994393289,2.3879680000000008,,,2026-08-08T21:46:23,subsampled to TabPFN's documented limit
lightgbm,regime_limited,1,2,4750,1137,0.058280500515350456,0.9126955676906757,11.726226120457167,0.059284299961291254,0.005357400048524141,0.02048000000013417,,,2026-08-08T21:46:23,subsampled to TabPFN's documented limit
catboost,regime_limited,1,2,4750,1137,0.047582165898234274,0.9330483184208106,8.574565353634595,20.485253099934198,0.0034539001062512398,2.916352000000188,,,2026-08-08T21:46:23,subsampled to TabPFN's documented limit
mlp,regime_limited,1,2,4750,1137,0.07617684445636722,0.8465997720437453,14.974805607389674,0.42109249997884035,0.006489200051873922,0.05734400000005735,909150000.0,,2026-08-08T21:46:44,subsampled to TabPFN's documented limit
tabpfn,regime_limited,1,2,4750,1137,0.06942068251648957,0.862967666016414,14.11017104114149,0.6818599000107497,173.95271679991856,419.06995200000006,,,2026-08-08T21:46:44,subsampled to TabPFN's documented limit
ridge,regime_limited,1,3,4836,1051,0.11196514538974896,0.4158759350691531,19.117756719919292,0.022063600015826523,0.0077315999660640955,0.024576000000024578,483933.3333333333,,2026-08-08T21:49:39,subsampled to TabPFN's documented limit
